,level_0,index,frequency
22635,22635,CCCC[C@@H]1NC(=O),248
22636,22636,CC([O-])=O,248
22637,22637,CC(=O)N1CCCC(,248
22638,22638,CC[N+](C)(CC),248
22639,22639,C2(C)C)C(=O),248
22640,22640,C(O)(C(F)(F)F)C(F)(F)F)cc1,248
22641,22641,C(N)=O)C(N)=O,248
22642,22642,C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O),248
22643,22643,C(=O)[C@@]2(C)CO2)cc1,248
22644,22644,C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C),248
22645,22645,C(=O)C(=O)c2c1,248
22646,22646,=C(\C#N),248
22647,22647,=C(S),248
22648,22648,3CCCNC3),248
22649,22649,2CCCC(C1),248
22650,22650,-c2ccc3c(,248
22651,22651,nc2c1cnn2,247
22652,22652,n3)c3ccccc23)n(n1)-,247
22653,22653,n2ccnc(N)c12,247
22654,22654,n2c(=O)cc(,247
22655,22655,cc(C(=O)c3c(F)ccc(NS(=O)(=O),247
22656,22656,cc(nc12)-,247
22657,22657,c4c3)cc2,247
22658,22658,c3ccccc32)n1,247
22659,22659,c3ccccc3)cccc12,247
22660,22660,c3ccccc3n12,247
22661,22661,c3ccc(cc3[C@@]1(C)CCN2CC1CC1),247
22662,22662,c3ccc(C(C)=O),247
22663,22663,c2no[n+]([O-]),247
22664,22664,c2ccnc3cc(Cl)ccc23)CC1,247
22665,22665,c2cccc(Cl)c2Cl)CC1,247
22666,22666,c2ccc(CNC(=O),247
22667,22667,c1nnc(C)s1,247
22668,22668,c1nc(cc(n1)-,247
22669,22669,c1cnc(NCc2c3CCOc3ccc2F)n2cnnc12,247
22670,22670,c1cccc(F)c1F),247
22671,22671,c1cccc(C#N)c1,247
22672,22672,c1cc(-c2n,247
22673,22673,c1c(ncn1,247
22674,22674,c(cc1Cl)-c1cn2,247
22675,22675,[C@]54C),247
22676,22676,[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,247
22677,22677,[C@H](OC(=O)/C=C/,247
22678,22678,[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,247
22679,22679,S(F)(F)(F)(F)F,247
22680,22680,SC3=N,247
22681,22681,OC)CC,247
22682,22682,OC2)cc1,247
22683,22683,O=C(/C=C\,247
22684,22684,NCC#C),247
22685,22685,NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O),247
22686,22686,NC(=O)CC1CC,247
22687,22687,NC(=O)c1ccc(-,247
22688,22688,N=C(c3c(C)c(C)sc3-n12),247
22689,22689,N1CCNCC1)-,247
22690,22690,NC[C@@H](N),247
22691,22691,Cc1ccc(NC(=O)c2ccnc(c2)C(C)(C)C#N),247
22692,22692,C[C@H]1N(CCn2c1nnc2-c1nc(C)ns1)C(=O),247
22693,22693,CSc1ncccc1,247
22694,22694,COc1cc(ccc1Cl),247
22695,22695,COc1cc(/C=C\,247
22696,22696,COCCC(C(=O)N,247
22697,22697,COC1=C,247
22698,22698,CNc1cc(Nc2cccn([C@H]3CC,247
22699,22699,CN[C@@H](C)C(=O)N[C@H]1CCCC,247
22700,22700,CN1CCC(CN,247
22701,22701,CN1CC(O),247
22702,22702,CN(C)C1(,247
22703,22703,CCOc1cc(CN2CC,247
22704,22704,CCOc2c1,247
22705,22705,CCCCCCNC(=O)O,247
22706,22706,CCCC11CCN(CC1),247
22707,22707,CC(C)c1cc(C(C)C)c(,247
22708,22708,CCCOc1c(,247
22709,22709,C=C[C@]34C),247
22710,22710,C3CCN(CC3)C(=O),247
22711,22711,C(O)CC1),247
22712,22712,C(C)(C)C)C(=O)O,247
22713,22713,C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,247
22714,22714,C(=O)N[C@H](CCC(O)=O),247
22715,22715,C(=O)N[C@@H](CCCNC(N)=N)C(N)=O,247
22716,22716,C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N),247
22717,22717,C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O),247
22718,22718,C(=O)N1CCN([C@@H](C)C1),247
22719,22719,C(=O)CCC2,247
22720,22720,C(=O)/C=C(\O),247
22721,22721,C(c1ccc(F)cc1),247
22722,22722,C[C@]23,247
22723,22723,=NC2,247
22724,22724,=CC#,247
22725,22725,/C=C/c2ccccc2)CC1,247
22726,22726,n45),246
22727,22727,n2cc(F)c(=O)[nH]c2=O),246
22728,22728,n2CCOCc12),246
22729,22729,cc4[nH]3),246
22730,22730,c5[nH]4),246
22731,22731,c4occc4,246
